measurement_number,response_time_ms
1,3106.778117
2,2718.42724
3,2775.121062
4,2922.163811
5,3248.103626
6,2945.78816
7,3002.944045
8,2812.264618
9,2818.149962
10,2847.302972
11,2683.874389
12,2885.676084
13,2809.531248
14,2755.299813
15,2738.639607
16,2650.314801
17,2744.752271
18,2472.515063
19,2675.015156
20,2871.328438
21,2909.025287
22,2563.419624
23,2810.603413
24,3234.338589
25,2826.394856
26,2876.206922
27,3036.869014
28,2843.77883
29,2831.147501
30,2835.685282
