measurement_number,roundtrip_time_ms
1,399.260503
2,399.247708
3,399.944149
4,400.155316
5,400.217761
6,400.640889
7,400.932703
8,401.089499
9,401.176926
10,401.749998
11,401.797888
12,402.347292
13,402.456866
14,402.783125
15,402.84731
16,403.436715
17,403.326865
18,403.753419
19,404.191565
20,404.397009
21,404.718842
22,405.081636
23,405.554079
24,405.520728
25,405.836282
26,405.997727
27,406.357096
28,406.663317
29,406.821965
30,407.066798
31,407.402593
32,407.533815
33,408.005943
34,408.28959
35,408.518219
36,408.608997
37,409.158994
38,409.374956
39,409.453642
40,409.927918
41,410.207417
42,410.310583
43,410.700248
44,411.162728
45,411.014118
46,411.528061
47,411.793412
48,412.109502
49,412.279854
50,412.595223
